Japanese Chin,Low
Scottish Terrier,Low
Bullmastiff,Low
Golden Retriever,Low
Flat-Coated Retriever,Low
Chesapeake Bay Retriever,Low
Spaniel,Low
Labrador Retriever,High
Bearded Collie,Low
Poodle,Medium
Boxer,Medium
Great Pyrenees,Low
Dachshund,Medium
Cocker Spaniel,Low
Akbash,Low
Yorkshire Terrier,Medium
Black Labrador Retriever,Medium
Pit Bull Terrier,High
Beagle,Medium
Anatolian Shepherd,Low
Shih Tzu,Medium
American Staffordshire Terrier,Medium
Jack Russell Terrier,Low
German Shepherd Dog,Medium
Basset Hound,Low
Chihuahua,High
Terrier,High
Kuvasz,Low
Border Collie,Medium
Mixed Breed,Medium
American Bulldog,Low
Siberian Husky,Low
Wirehaired Terrier,Low
Maltese,Low
Great Dane,Low
English Pointer,Low
Rat Terrier,Low
Papillon,Low
Lhasa Apso,Low
Skye Terrier,Low
Australian Cattle Dog / Blue Heeler,Medium
Chow Chow,Low
Staffordshire Bull Terrier,Low
Australian Shepherd,Medium
English Bulldog,Low
Hound,Medium
Bull Terrier,Low
Pomeranian,Low
Weimaraner,Low
Belgian Shepherd / Malinois,Low
Corgi,Low
Shetland Sheepdog / Sheltie,Low
Shepherd,Medium
Basenji,Low
Bichon Frise,Low
Bernese Mountain Dog,Low
Fox Terrier,Low
Pointer,Low
West Highland White Terrier / Westie,Low
Miniature Schnauzer,Low
Retriever,Medium
Doberman Pinscher,Low
English Springer Spaniel,Low
Plott Hound,Low
Schnauzer,Low
Shar-Pei,Low
Redbone Coonhound,Low
Yellow Labrador Retriever,Low
Miniature Poodle,Low
Mountain Cur,Low
Brittany Spaniel,Low
Collie,Low
Chinese Crested Dog,Low
Xoloitzcuintli / Mexican Hairless,Low
English Setter,Low
Coonhound,Low
Pug,Low
Husky,Low
Australian Terrier,Low
English Coonhound,Low
Pekingese,Low
Wheaten Terrier,Low
Bluetick Coonhound,Low
Norfolk Terrier,Low
Feist,Low
Catahoula Leopard Dog,Low
Cairn Terrier,Low
Australian Kelpie,Low
Maltipoo,Low
Saint Bernard,Low
Dutch Shepherd,Low
Rottweiler,Low
Chocolate Labrador Retriever,Low
Black Mouth Cur,Low
Wirehaired Pointing Griffon,Low
Parson Russell Terrier,Low
Ibizan Hound,Low
Spitz,Low
Miniature Pinscher,Low
Akita,Low
German Shorthaired Pointer,Low
Mastiff,Low
Dogue de Bordeaux,Low
Cattle Dog,Low
Rhodesian Ridgeback,Low
Tibetan Terrier,Low
Boston Terrier,Low
Bloodhound,Low
Treeing Walker Coonhound,Low
Dalmatian,Low
Neapolitan Mastiff,Low
Whippet,Low
Eskimo Dog,Low
Border Terrier,Low
Affenpinscher,Low
Shiba Inu,Low
Carolina Dog,Low
American Eskimo Dog,Low
Cardigan Welsh Corgi,Low
Cavalier King Charles Spaniel,Low
White German Shepherd,Low
Irish Wolfhound,Low
German Spitz,Low
French Bulldog,Low
Norwegian Lundehund,Low
Vizsla,Low
Brussels Griffon,Low
Silky Terrier,Low
English Foxhound,Low
Boykin Spaniel,Low
Patterdale Terrier / Fell Terrier,Low
Airedale Terrier,Low
Irish Terrier,Low
Black and Tan Coonhound,Low
Cockapoo,Low
Irish Setter,Low
Newfoundland Dog,Low
Samoyed,Low
Mountain Dog,Low
Setter,Low
Alaskan Malamute,Low
Kerry Blue Terrier,Low
Standard Schnauzer,Low
English Cocker Spaniel,Low
Pharaoh Hound,Low
Toy Fox Terrier,Low
Norwegian Elkhound,Low
Hamiltonstovare,Low
Glen of Imaal Terrier,Low
Sheep Dog,Low
Havanese,Low
Italian Greyhound,Low
Foxhound,Low
Caucasian Sheepdog / Caucasian Ovtcharka,Low
Klee Kai,Low
Beauceron,Low
Gordon Setter,Low
Leonberger,Low
Swedish Vallhund,Low
Tibetan Spaniel,Low
Manchester Terrier,Low
Boerboel,Low
Giant Schnauzer,Low
Lancashire Heeler,Low
Greyhound,Low
Rough Collie,Low
Schipperke,Low
Standard Poodle,Low
Clumber Spaniel,Low
Finnish Spitz,Low
Wire Fox Terrier,Low
American Foxhound,Low
Old English Sheepdog,Low
Presa Canario,Low
Keeshond,Low
Cane Corso,Low
Pyrenean Shepherd,Low
Belgian Shepherd / Tervuren,Low
Canaan Dog,Low
Blue Lacy,Low
Smooth Collie,Low
Belgian Shepherd / Sheepdog,Low
Petit Basset Griffon Vendeen,Low
Greater Swiss Mountain Dog,Low
Jindo,Low
Munsterlander,Low
Saluki,Low
German Wirehaired Pointer,Low
Karelian Bear Dog,Low
Bouvier des Flandres,Low
Fila Brasileiro,Low
Norwich Terrier,Low
Dogo Argentino,Low
Dandie Dinmont Terrier,Low
Welsh Springer Spaniel,Low
German Pinscher,Low
Black Russian Terrier,Low
Sussex Spaniel,Low
Otterhound,Low
Harrier,Low
Lowchen,Low
English Shepherd,Low
Wirehaired Dachshund,Low
Portuguese Podengo,Low
Welsh Terrier,Low
Bedlington Terrier,Low
Smooth Fox Terrier,Low
Lakeland Terrier,Low
Belgian Shepherd / Laekenois,Low
Afghan Hound,Low
McNab,Low
Tosa Inu,Low
Miniature Dachshund,Low
Scottish Deerhound,Low
Entlebucher,Low
Curly-Coated Retriever,Low
Nova Scotia Duck Tolling Retriever,Low
Cirneco dell'Etna,Low
Spanish Water Dog,Low
Peruvian Inca Orchid,Low
American Water Spaniel,Low
Appenzell Mountain Dog,Low
Thai Ridgeback,Low
Borzoi,Low
Maremma Sheepdog,Low
English Toy Spaniel,Low
Coton de Tulear,Low
Sealyham Terrier,Low
Briard,Low
Galgo Spanish Greyhound,Low
Pembroke Welsh Corgi,Low
Tibetan Mastiff,Low
Kai Dog,Low
Chiweenie,Low
Field Spaniel,Low
Polish Lowland Sheepdog,Low
Portuguese Water Dog,Low
Puli,Low
Finnish Lapphund,Low
Hovawart,Low
Schnoodle,Low
Spinone Italiano,Low
New Guinea Singing Dog,Low
Bolognese,Low
Chinook,Low
Icelandic Sheepdog,Low
Labradoodle,Low
American Bully,Low
Komondor,Low
Goldendoodle,Low
American Hairless Terrier,Low
Puggle,Low
Pumi,Low
Kyi Leo,Low
Miniature Bull Terrier,Low
Norwegian Buhund,Low
Aussiedoodle,Low
Shih poo,Low
Sheepadoodle,Low
South Russian Ovtcharka,Low
Kishu,Low
