Full,Abb,Mod
Alabama,AL,AL
Alaska,AK,Other
Arizona,AZ,AZ
Arkansas,AR,AR
California,CA,CA
Colorado,CO,CO
Connecticut,CT,Other
Delaware,DE,Other
Florida,FL,FL
Georgia,GA,GA
Idaho,ID,ID
Illinois,IL,IL
Indiana,IN,IN
Iowa,IA,IA
Kansas,KS,Other
Kentucky,KY,KY
Louisiana,LA,LA
Maine,ME,ME
Maryland,MD,MD
Massachusetts,MA,MA
Michigan,MI,MI
Minnesota,MN,MN
Mississippi,MS,Other
Missouri,MO,Other
Montana,MT,Other
Nebraska,NE,NE
Nevada,NV,NV
New Hampshire,NH,NH
New Jersey,NJ,NJ
New Mexico,NM,NM
New York,NY,NY
North Carolina,NC,NC
North Dakota,ND,Other
Ohio,OH,OH
Oklahoma,OK,OK
Oregon,OR,OR
Pennsylvania,PA,PA
Rhode Island,RI,RI
South Carolina,SC,SC
South Dakota,SD,Other
Tennessee,TN,TN
Texas,TX,TX
Utah,UT,Other
Vermont,VT,VT
Virginia,VA,VA
Washington,WA,WA
West Virginia,WV,Other
Wisconsin,WI,WI
Wyoming,WY,Other
